分類,名前,機能,複数版
計算格子の出力,cg_iric_writegridcoord2d_f,2次元構造格子を出力する,○
計算格子の出力,cg_iric_writegridcoord3d_f,3次元構造格子を出力する,○
計算格子の出力,cg_iric_write_grid_integer_node_f,格子点で定義された整数の属性を出力する,○
計算格子の出力,cg_iric_write_grid_real_node_f,格子点で定義された倍精度実数の属性を出力する,○
計算格子の出力,cg_iric_write_grid_integer_cell_f,セルで定義された整数の属性を出力する,○
計算格子の出力,cg_iric_write_grid_real_cell_f,セルで定義された倍精度実数の属性を出力する,○
時刻 (ループ回数) の出力,cg_iric_write_sol_time_f,時刻を出力する,○
時刻 (ループ回数) の出力,cg_iric_write_sol_iteration_f,ループ回数を出力する,○
計算結果の出力,cg_iric_write_sol_gridcoord2d_f,2次元構造格子を出力する,○
計算結果の出力,cg_iric_write_sol_gridcoord3d_f,3次元構造格子を出力する,○
計算結果の出力,cg_iric_write_sol_baseiterative_integer_f,整数の計算結果を出力する,○
計算結果の出力,cg_iric_write_sol_baseiterative_real_f,倍精度実数の計算結果を出力する,○
計算結果の出力,cg_iric_write_sol_integer_f,整数の格子点ごとに値を持つ計算結果を出力する,○
計算結果の出力,cg_iric_write_sol_real_f,倍精度実数の格子点ごとに値を持つ計算結果を出力する,○
計算結果の出力,cg_iric_write_sol_cell_integer_f,整数の格子セルごとに値を持つ計算結果を出力する,○
計算結果の出力,cg_iric_write_sol_cell_real_f,倍精度実数の格子セルごとに値を持つ計算結果を出力する,○
計算結果の出力 (粒子),cg_iric_write_sol_particle_pos2d_f,粒子の位置を出力する (2次元),○
計算結果の出力 (粒子),cg_iric_write_sol_particle_pos3d_f,粒子の位置を出力する (3次元),○
計算結果の出力 (粒子),cg_iric_write_sol_particle_integer_f,整数の粒子ごとに値を持つ計算結果を出力する,○
計算結果の出力 (粒子),cg_iric_write_sol_particle_real_f,倍精度実数の粒子ごとに値を持つ計算結果を出力する,○
計算結果の出力の前後に利用する関数,iric_check_cancel_f,ユーザがソルバーの実行をキャンセルしたか確認する,×
計算結果の出力の前後に利用する関数,iric_check_lock_f,CGNSファイルが GUI によってロックされているか確認する,×
計算結果の出力の前後に利用する関数,iric_write_sol_start_f,計算結果の出力開始をGUIに通知する,×
計算結果の出力の前後に利用する関数,iric_write_sol_end_f,計算結果の出力終了をGUIに通知する,×
計算結果の出力の前後に利用する関数,cg_iric_flush_f,計算結果の出力をファイルに書き込む,×
既存の計算結果の読み込み,cg_iric_read_sol_count_f,計算結果の数を取得する,○
既存の計算結果の読み込み,cg_iric_read_sol_time_f,計算結果の時刻の値を取得する,○
既存の計算結果の読み込み,cg_iric_read_sol_iteration_f,計算結果のループ回数の値を取得する,○
既存の計算結果の読み込み,cg_iric_read_sol_baseiterative_integer_f,整数の計算結果の値を取得する,○
既存の計算結果の読み込み,cg_iric_read_sol_baseiterative_real_f,倍精度実数の計算結果の値を取得する,○
既存の計算結果の読み込み,cg_iric_read_sol_gridcoord2d_f,計算結果の2次元構造格子を取得する,○
既存の計算結果の読み込み,cg_iric_read_sol_gridcoord3d_f,計算結果の3次元構造格子を取得する,○
既存の計算結果の読み込み,cg_iric_read_sol_integer_f,整数の格子点ごとに値を持つ計算結果の値を取得する,○
既存の計算結果の読み込み,cg_iric_read_sol_real_f,倍精度実数の格子点ごとに値を持つ計算結果の値を取得する,○
既存の計算結果の読み込み,cg_iric_read_sol_cell_integer_f,整数の格子セルごとに値を持つ計算結果の値を取得する,○
既存の計算結果の読み込み,cg_iric_read_sol_cell_real_f,倍精度実数の格子セルごとに値を持つ計算結果の値を取得する,○
エラーコードの出力,cg_iric_write_errorcode_f,エラーコードを出力する,○
CGNSファイルを閉じる,cg_close_f,CGNS ファイルを閉じる,×
